fips,state,year,share_20_34
10,Delaware,2019,0.189706
10,Delaware,2020,0.185026
10,Delaware,2021,0.183848
10,Delaware,2022,0.182238
10,Delaware,2023,0.180027
11,District of Columbia,2000,0.268709
11,District of Columbia,2001,0.26855
11,District of Columbia,2002,0.267685
11,District of Columbia,2003,0.269009
11,District of Columbia,2004,0.272461
11,District of Columbia,2005,0.275239
11,District of Columbia,2006,0.281765
11,District of Columbia,2007,0.287392
11,District of Columbia,2008,0.295132
11,District of Columbia,2009,0.303967
11,District of Columbia,2010,0.312855
11,District of Columbia,2011,0.315939
11,District of Columbia,2012,0.317562
11,District of Columbia,2013,0.317532
11,District of Columbia,2014,0.315746
11,District of Columbia,2015,0.314152
11,District of Columbia,2016,0.312517
11,District of Columbia,2017,0.310725
11,District of Columbia,2018,0.308238
11,District of Columbia,2019,0.304834
11,District of Columbia,2020,0.292181
11,District of Columbia,2021,0.284635
11,District of Columbia,2022,0.2849
11,District of Columbia,2023,0.285037
12,Florida,2000,0.188194
12,Florida,2001,0.187475
12,Florida,2002,0.187313
12,Florida,2003,0.187318
12,Florida,2004,0.187628
12,Florida,2005,0.187256
12,Florida,2006,0.187256
12,Florida,2007,0.187059
12,Florida,2008,0.186665
12,Florida,2009,0.18675
12,Florida,2010,0.185999
12,Florida,2011,0.188912
12,Florida,2012,0.190803
12,Florida,2013,0.191525
12,Florida,2014,0.19207
12,Florida,2015,0.191728
12,Florida,2016,0.19106
12,Florida,2017,0.190258
12,Florida,2018,0.189015
12,Florida,2019,0.187728
12,Florida,2020,0.184383
12,Florida,2021,0.18344
12,Florida,2022,0.182697
12,Florida,2023,0.181639
13,Georgia,2000,0.230618
13,Georgia,2001,0.22886
13,Georgia,2002,0.226399
13,Georgia,2003,0.22308
13,Georgia,2004,0.221812
13,Georgia,2005,0.216708
13,Georgia,2006,0.214556
13,Georgia,2007,0.211398
13,Georgia,2008,0.209868
13,Georgia,2009,0.209382
13,Georgia,2010,0.205532
13,Georgia,2011,0.205766
13,Georgia,2012,0.206855
13,Georgia,2013,0.206556
13,Georgia,2014,0.206459
13,Georgia,2015,0.205859
13,Georgia,2016,0.20582
13,Georgia,2017,0.20551
13,Georgia,2018,0.205368
13,Georgia,2019,0.205823
13,Georgia,2020,0.202302
13,Georgia,2021,0.202506
13,Georgia,2022,0.203519
13,Georgia,2023,0.203414
15,Hawaii,2000,0.210123
15,Hawaii,2001,0.209597
15,Hawaii,2002,0.210108
15,Hawaii,2003,0.208846
15,Hawaii,2004,0.207798
15,Hawaii,2005,0.209259
15,Hawaii,2006,0.209274
15,Hawaii,2007,0.20526
15,Hawaii,2008,0.206223
15,Hawaii,2009,0.205971
15,Hawaii,2010,0.192891
15,Hawaii,2011,0.19587
15,Hawaii,2012,0.197127
15,Hawaii,2013,0.198274
15,Hawaii,2014,0.198321
15,Hawaii,2015,0.197247
15,Hawaii,2016,0.19607
15,Hawaii,2017,0.192867
15,Hawaii,2018,0.189873
15,Hawaii,2019,0.186928
15,Hawaii,2020,0.182384
15,Hawaii,2021,0.179038
15,Hawaii,2022,0.176341
15,Hawaii,2023,0.173815
16,Idaho,2000,0.203074
16,Idaho,2001,0.203269
16,Idaho,2002,0.204131
16,Idaho,2003,0.205762
16,Idaho,2004,0.206453
16,Idaho,2005,0.205712
16,Idaho,2006,0.204571
16,Idaho,2007,0.204159
16,Idaho,2008,0.203909
16,Idaho,2009,0.203388
16,Idaho,2010,0.200845
16,Idaho,2011,0.201114
16,Idaho,2012,0.201157
16,Idaho,2013,0.200478
16,Idaho,2014,0.199359
16,Idaho,2015,0.197762
16,Idaho,2016,0.197564
16,Idaho,2017,0.197485
16,Idaho,2018,0.197222
16,Idaho,2019,0.197076
16,Idaho,2020,0.193729
16,Idaho,2021,0.19475
16,Idaho,2022,0.19498
16,Idaho,2023,0.19524
17,Illinois,2000,0.214046
17,Illinois,2001,0.212949
17,Illinois,2002,0.212074
17,Illinois,2003,0.211029
17,Illinois,2004,0.210081
17,Illinois,2005,0.208282
17,Illinois,2006,0.207274
17,Illinois,2007,0.206589
17,Illinois,2008,0.206637
17,Illinois,2009,0.206936
17,Illinois,2010,0.205817
17,Illinois,2011,0.206927
17,Illinois,2012,0.207673
17,Illinois,2013,0.208469
17,Illinois,2014,0.208709
17,Illinois,2015,0.207669
17,Illinois,2016,0.206606
17,Illinois,2017,0.205625
17,Illinois,2018,0.204547
17,Illinois,2019,0.203581
17,Illinois,2020,0.200162
17,Illinois,2021,0.199209
17,Illinois,2022,0.198915
17,Illinois,2023,0.199209
18,Indiana,2000,0.206336
18,Indiana,2001,0.205362
18,Indiana,2002,0.204687
18,Indiana,2003,0.204365
18,Indiana,2004,0.203091
18,Indiana,2005,0.201487
18,Indiana,2006,0.199481
18,Indiana,2007,0.19796
18,Indiana,2008,0.197262
18,Indiana,2009,0.19729
18,Indiana,2010,0.197426
18,Indiana,2011,0.199012
18,Indiana,2012,0.200668
18,Indiana,2013,0.201796
18,Indiana,2014,0.202234
18,Indiana,2015,0.201772
18,Indiana,2016,0.201716
18,Indiana,2017,0.20161
18,Indiana,2018,0.201973
18,Indiana,2019,0.202502
18,Indiana,2020,0.199468
18,Indiana,2021,0.200464
18,Indiana,2022,0.200659
18,Indiana,2023,0.200791
19,Iowa,2000,0.19335
19,Iowa,2001,0.192218
19,Iowa,2002,0.192916
19,Iowa,2003,0.193642
19,Iowa,2004,0.193314
19,Iowa,2005,0.193196
19,Iowa,2006,0.1924
19,Iowa,2007,0.192394
19,Iowa,2008,0.193236
19,Iowa,2009,0.194673
19,Iowa,2010,0.195818
19,Iowa,2011,0.197581
19,Iowa,2012,0.199414
19,Iowa,2013,0.200511
19,Iowa,2014,0.201095
19,Iowa,2015,0.200446
19,Iowa,2016,0.199773
19,Iowa,2017,0.198954
19,Iowa,2018,0.198011
19,Iowa,2019,0.197658
19,Iowa,2020,0.194459
19,Iowa,2021,0.195023
19,Iowa,2022,0.195365
19,Iowa,2023,0.195477
20,Kansas,2000,0.200114
20,Kansas,2001,0.199335
20,Kansas,2002,0.200702
20,Kansas,2003,0.201105
20,Kansas,2004,0.201541
20,Kansas,2005,0.200482
20,Kansas,2006,0.201143
20,Kansas,2007,0.200545
20,Kansas,2008,0.202342
20,Kansas,2009,0.203141
20,Kansas,2010,0.200947
20,Kansas,2011,0.201995
20,Kansas,2012,0.203809
20,Kansas,2013,0.204397
20,Kansas,2014,0.205322
20,Kansas,2015,0.205031
20,Kansas,2016,0.20453
20,Kansas,2017,0.202473
20,Kansas,2018,0.201498
20,Kansas,2019,0.200086
20,Kansas,2020,0.197847
20,Kansas,2021,0.197932
20,Kansas,2022,0.197802
20,Kansas,2023,0.197667
21,Kentucky,2000,0.210084
21,Kentucky,2001,0.209551
21,Kentucky,2002,0.208328
21,Kentucky,2003,0.206639
21,Kentucky,2004,0.206081
21,Kentucky,2005,0.204015
21,Kentucky,2006,0.200334
21,Kentucky,2007,0.199457
21,Kentucky,2008,0.197092
21,Kentucky,2009,0.197515
21,Kentucky,2010,0.195655
21,Kentucky,2011,0.196759
21,Kentucky,2012,0.197419
21,Kentucky,2013,0.198485
21,Kentucky,2014,0.198243
21,Kentucky,2015,0.19745
21,Kentucky,2016,0.197053
21,Kentucky,2017,0.197065
21,Kentucky,2018,0.196477
21,Kentucky,2019,0.196624
21,Kentucky,2020,0.193922
21,Kentucky,2021,0.194252
21,Kentucky,2022,0.194571
21,Kentucky,2023,0.195049
22,Louisiana,2000,0.207044
22,Louisiana,2001,0.207298
22,Louisiana,2002,0.208093
22,Louisiana,2003,0.208543
22,Louisiana,2004,0.209769
22,Louisiana,2005,0.209774
22,Louisiana,2006,0.206709
22,Louisiana,2007,0.207801
22,Louisiana,2008,0.208605
22,Louisiana,2009,0.211426
22,Louisiana,2010,0.211711
22,Louisiana,2011,0.215389
22,Louisiana,2012,0.216731
22,Louisiana,2013,0.217591
22,Louisiana,2014,0.217562
22,Louisiana,2015,0.216159
22,Louisiana,2016,0.213624
22,Louisiana,2017,0.210486
22,Louisiana,2018,0.207755
22,Louisiana,2019,0.205475
22,Louisiana,2020,0.200608
22,Louisiana,2021,0.198823
22,Louisiana,2022,0.196418
22,Louisiana,2023,0.194776
23,Maine,2000,0.177662
23,Maine,2001,0.174648
23,Maine,2002,0.173694
23,Maine,2003,0.173201
23,Maine,2004,0.172169
23,Maine,2005,0.171
23,Maine,2006,0.169353
23,Maine,2007,0.168418
23,Maine,2008,0.168314
23,Maine,2009,0.168588
23,Maine,2010,0.168083
23,Maine,2011,0.170371
23,Maine,2012,0.171617
23,Maine,2013,0.17281
23,Maine,2014,0.17417
23,Maine,2015,0.174412
23,Maine,2016,0.174962
23,Maine,2017,0.175357
23,Maine,2018,0.175846
23,Maine,2019,0.176536
23,Maine,2020,0.174671
23,Maine,2021,0.176246
23,Maine,2022,0.176446
23,Maine,2023,0.175862
24,Maryland,2000,0.200314
24,Maryland,2001,0.198015
24,Maryland,2002,0.196628
24,Maryland,2003,0.195987
24,Maryland,2004,0.195165
24,Maryland,2005,0.194913
24,Maryland,2006,0.19499
24,Maryland,2007,0.195237
24,Maryland,2008,0.196333
24,Maryland,2009,0.198418
24,Maryland,2010,0.198859
24,Maryland,2011,0.20097
24,Maryland,2012,0.202448
24,Maryland,2013,0.203599
24,Maryland,2014,0.203573
24,Maryland,2015,0.202687
24,Maryland,2016,0.200852
24,Maryland,2017,0.199548
24,Maryland,2018,0.198045
24,Maryland,2019,0.196659
24,Maryland,2020,0.192221
24,Maryland,2021,0.191279
24,Maryland,2022,0.188885
24,Maryland,2023,0.18703
25,Massachusetts,2000,0.209319
25,Massachusetts,2001,0.206973
25,Massachusetts,2002,0.204492
25,Massachusetts,2003,0.202297
25,Massachusetts,2004,0.199854
25,Massachusetts,2005,0.197522
25,Massachusetts,2006,0.196777
25,Massachusetts,2007,0.196842
25,Massachusetts,2008,0.198168
25,Massachusetts,2009,0.200426
25,Massachusetts,2010,0.202092
25,Massachusetts,2011,0.204449
25,Massachusetts,2012,0.207013
25,Massachusetts,2013,0.209346
25,Massachusetts,2014,0.211263
25,Massachusetts,2015,0.212254
25,Massachusetts,2016,0.213416
