event_time,att,se,crit_val
-17,-0.0243596867943142,0.00878524429462086,2.43322363136331
-16,-0.00616956646370867,0.00630041725710402,2.43322363136331
-15,-0.00412293892485673,0.00487098504427814,2.43322363136331
-14,0.0143523482641247,0.00526734806585904,2.43322363136331
-13,0.0115592751624013,0.017905899955522,2.43322363136331
-12,-0.0164223174934968,0.0147230918576763,2.43322363136331
-11,-0.000405708389024076,0.0104661763911247,2.43322363136331
-10,0.00223680252189515,0.0135764122554026,2.43322363136331
-9,0.0148477438789682,0.0135777374001929,2.43322363136331
-8,-0.0196125700961061,0.0149914338900381,2.43322363136331
-7,0.0028526062865205,0.0170595253089218,2.43322363136331
-6,0.00460597019985494,0.00878668940508256,2.43322363136331
-5,-0.0104253203310428,0.0054666908633461,2.43322363136331
-4,-0.00168507057226447,0.00948343659237194,2.43322363136331
-3,-0.0113940199512059,0.00645120721286556,2.43322363136331
-2,0.0034449422914067,0.00704445598196286,2.43322363136331
-1,0.00896567624929697,0.0052076409214091,2.43322363136331
0,0.017471628691788,0.023113106374183,2.43322363136331
1,0.0204811123073007,0.025651201364999,2.43322363136331
2,0.00368048581046909,0.00810340808653625,2.43322363136331
3,0.00957077749057922,0.00878510075996975,2.43322363136331
4,0.0137794789016267,0.0129326455395325,2.43322363136331
5,-0.0049848905671512,0.0108026779064577,2.43322363136331
