t0,fips,rmspe,med_oth,fails
2014,1,0.00191680661245643,0.0130480011748128,0
2014,5,0.0198434721305344,0.0120554479571478,0
2014,10,0.025117224849572,0.0120554479571478,1
2014,12,0.0166287108167838,0.0120554479571478,0
2014,13,0.028079140409155,0.0120554479571478,1
2014,15,0.0130480011748128,0.0120554479571478,0
2014,16,0.00176537664669989,0.0130480011748128,0
2014,18,0.00649862150347501,0.0130480011748128,0
2014,19,0.0101904556885018,0.0130480011748128,0
2014,20,0.0116323112414038,0.0130480011748128,0
2014,21,0.0186426583417859,0.0120554479571478,0
2014,22,0.024164203713326,0.0120554479571478,1
2014,27,0.0197658831240277,0.0120554479571478,0
2014,28,0.00397651552849628,0.0130480011748128,0
2014,31,0.0032759605597464,0.0130480011748128,0
2014,33,0.289832104767264,0.0120554479571478,1
2014,37,0.00389228769250747,0.0130480011748128,0
2014,38,0.0536766662944147,0.0120554479571478,1
2014,39,0.00441203169684658,0.0130480011748128,0
2014,40,0.0290221798289458,0.0120554479571478,1
2014,42,0.0120554479571478,0.0130480011748128,0
2014,45,0.0156465524033298,0.0120554479571478,0
2014,46,0.00805081328861618,0.0130480011748128,0
2014,47,0.027366158602813,0.0120554479571478,1
2014,48,0.00655532125403672,0.0130480011748128,0
2014,49,0.219682426501986,0.0120554479571478,1
2014,51,0.00421702695652424,0.0130480011748128,0
2014,54,0.00793501181671924,0.0130480011748128,0
2014,55,0.00847843395871685,0.0130480011748128,0
2014,56,0.0364982107426689,0.0120554479571478,1
2015,1,0.00218419918373704,0.0129788498401837,0
2015,5,0.0194608178460657,0.0116483458972362,0
2015,10,0.0247948651817292,0.0116483458972362,1
2015,12,0.0173670444970941,0.0116483458972362,0
2015,13,0.0278326425815003,0.0116483458972362,1
2015,15,0.0129788498401837,0.0116483458972362,0
2015,16,0.00250948744435364,0.0129788498401837,0
2015,18,0.0071683543291586,0.0129788498401837,0
2015,19,0.010032726041694,0.0129788498401837,0
2015,20,0.0114024810021082,0.0129788498401837,0
2015,21,0.018297720934866,0.0116483458972362,0
2015,22,0.0233693746416075,0.0116483458972362,1
2015,27,0.0244739294093839,0.0116483458972362,1
2015,28,0.00385320605740995,0.0129788498401837,0
2015,31,0.0031753525360806,0.0129788498401837,0
2015,33,0.286397345227189,0.0116483458972362,1
2015,37,0.00529894748993574,0.0129788498401837,0
2015,38,0.0584003783804589,0.0116483458972362,1
2015,39,0.00426717523113385,0.0129788498401837,0
2015,40,0.0283125424383657,0.0116483458972362,1
2015,42,0.0116483458972362,0.0129788498401837,0
2015,45,0.016177415611681,0.0116483458972362,0
2015,46,0.00844952605213532,0.0129788498401837,0
2015,47,0.0272050318998222,0.0116483458972362,1
2015,48,0.00635075195309945,0.0129788498401837,0
2015,49,0.219267837579292,0.0116483458972362,1
2015,51,0.00427876689934846,0.0129788498401837,0
2015,54,0.0081288618553892,0.0129788498401837,0
2015,55,0.00838676782207392,0.0129788498401837,0
2015,56,0.0353376360320694,0.0116483458972362,1
2018,1,0.00240177076599563,0.0129380481091156,0
2018,5,0.0184063409153668,0.0129100827011137,0
2018,10,0.0251404980191446,0.0129100827011137,0
2018,12,0.0161546146425459,0.0129100827011137,0
2018,13,0.0262263083170785,0.0129100827011137,1
2018,15,0.0129100827011137,0.0129380481091156,0
2018,16,0.00448249256002919,0.0129380481091156,0
2018,18,0.00988623359024418,0.0129380481091156,0
2018,19,0.00952179638423111,0.0129380481091156,0
2018,20,0.0129380481091156,0.0129100827011137,0
2018,21,0.0229280889877614,0.0129100827011137,0
2018,22,0.021456033702158,0.0129100827011137,0
2018,27,0.0252643079766191,0.0129100827011137,0
2018,28,0.00425819989529738,0.0129380481091156,0
2018,31,0.0050857987659432,0.0129380481091156,0
2018,33,0.27932474378248,0.0129100827011137,1
2018,37,0.00807273063197699,0.0129380481091156,0
2018,38,0.0541888369640288,0.0129100827011137,1
2018,39,0.00420819130743534,0.0129380481091156,0
2018,40,0.0268178082846412,0.0129100827011137,1
2018,42,0.0108654959910956,0.0129380481091156,0
2018,45,0.0199001433014481,0.0129100827011137,0
2018,46,0.0109590209884868,0.0129380481091156,0
2018,47,0.0292461991906618,0.0129100827011137,1
2018,48,0.00975979187664543,0.0129380481091156,0
2018,49,0.216784655322936,0.0129100827011137,1
2018,51,0.00417948494426413,0.0129380481091156,0
2018,54,0.00963115366662577,0.0129380481091156,0
2018,55,0.00819685538239817,0.0129380481091156,0
2018,56,0.0327214870117508,0.0129100827011137,1
