fips,state,estimator,year,gap
8,Colorado,ridge_ascm,2010,0.00634141839445723
8,Colorado,ridge_ascm,2011,-0.00589604279282918
8,Colorado,ridge_ascm,2012,-0.011234509341993
8,Colorado,ridge_ascm,2013,0.00843897600371291
8,Colorado,ridge_ascm,2014,0.000504551034131939
8,Colorado,ridge_ascm,2015,0.00126188024250307
8,Colorado,ridge_ascm,2016,0.00897272177975794
8,Colorado,ridge_ascm,2017,0.0345118716152659
8,Colorado,ridge_ascm,2018,0.0543129423493345
8,Colorado,ridge_ascm,2019,0.0201760153656874
25,Massachusetts,classic_scm,2000,0.0115262487348002
25,Massachusetts,classic_scm,2001,-0.0056687216720468
25,Massachusetts,classic_scm,2002,0.00247710763844
25,Massachusetts,classic_scm,2003,-0.00437855394253717
25,Massachusetts,classic_scm,2004,-0.000101203831206931
25,Massachusetts,classic_scm,2005,-0.00504239239355053
25,Massachusetts,classic_scm,2006,0.000618521814984563
25,Massachusetts,classic_scm,2007,0.010541208858055
25,Massachusetts,classic_scm,2008,-0.00507951497649839
25,Massachusetts,classic_scm,2009,-0.0101684885174718
25,Massachusetts,classic_scm,2010,0.00293384439252331
25,Massachusetts,classic_scm,2011,0.000353016656221339
25,Massachusetts,classic_scm,2012,0.000283433284134604
25,Massachusetts,classic_scm,2013,-0.000770624034654777
25,Massachusetts,classic_scm,2014,0.00628343562321176
25,Massachusetts,classic_scm,2015,-0.0111876221793721
25,Massachusetts,classic_scm,2016,-0.00442949728926223
25,Massachusetts,classic_scm,2017,0.0133590896061195
25,Massachusetts,classic_scm,2018,0.0158042430948167
25,Massachusetts,classic_scm,2019,0.014801241960358
25,Massachusetts,ridge_ascm,2000,0.0114925422115506
25,Massachusetts,ridge_ascm,2001,-0.00569834324561525
25,Massachusetts,ridge_ascm,2002,0.00245014428215451
25,Massachusetts,ridge_ascm,2003,-0.00440584711957137
25,Massachusetts,ridge_ascm,2004,-0.00013322641575364
25,Massachusetts,ridge_ascm,2005,-0.00507270631134316
25,Massachusetts,ridge_ascm,2006,0.000589125942845881
25,Massachusetts,ridge_ascm,2007,0.0105125334434943
25,Massachusetts,ridge_ascm,2008,-0.00510367166545955
25,Massachusetts,ridge_ascm,2009,-0.0101908276565141
25,Massachusetts,ridge_ascm,2010,0.00291371074707958
25,Massachusetts,ridge_ascm,2011,0.000330771609736491
25,Massachusetts,ridge_ascm,2012,0.000260659177812261
25,Massachusetts,ridge_ascm,2013,-0.00079365139586085
25,Massachusetts,ridge_ascm,2014,0.00625961457228463
25,Massachusetts,ridge_ascm,2015,-0.0112117642349363
25,Massachusetts,ridge_ascm,2016,-0.00445604691324286
25,Massachusetts,ridge_ascm,2017,0.0133319468319209
25,Massachusetts,ridge_ascm,2018,0.0157762159738091
25,Massachusetts,ridge_ascm,2019,0.0147718960838041
32,Nevada,classic_scm,2000,0.0961398357028502
32,Nevada,classic_scm,2001,0.0848674267774552
