fips,state,real_t0,fake_t0,estimator,fake_att
25,Massachusetts,2018,2014,ridge_ascm,0.0160634292579159
25,Massachusetts,2018,2014,sdid,-0.00463246240468571
25,Massachusetts,2018,2014,gsynth_ife,0.00314518138810854
25,Massachusetts,2018,2015,classic_scm,0.0101600262166863
25,Massachusetts,2018,2015,ridge_ascm,0.0101450148139501
25,Massachusetts,2018,2015,sdid,-0.00762962898856355
25,Massachusetts,2018,2015,gsynth_ife,0.000920535207875014
41,Oregon,2015,2006,classic_scm,0.0366522968986964
41,Oregon,2015,2006,ridge_ascm,0.0366552732726478
41,Oregon,2015,2006,sdid,0.044228722642473
41,Oregon,2015,2006,gsynth_ife,0.0132063363521539
41,Oregon,2015,2007,classic_scm,-0.00516492303179572
41,Oregon,2015,2007,ridge_ascm,-0.00523178734193089
41,Oregon,2015,2007,sdid,-0.00122068946518147
41,Oregon,2015,2007,gsynth_ife,0.0368086408542351
41,Oregon,2015,2008,classic_scm,-0.0532045169017074
41,Oregon,2015,2008,ridge_ascm,-0.0533516400444065
41,Oregon,2015,2008,sdid,-0.0404303870932759
41,Oregon,2015,2008,gsynth_ife,-0.0753490159602548
41,Oregon,2015,2009,classic_scm,-0.00863975662685819
41,Oregon,2015,2009,ridge_ascm,-0.00872916859455815
41,Oregon,2015,2009,sdid,0.0123972653913353
41,Oregon,2015,2009,gsynth_ife,-0.0426885783595321
41,Oregon,2015,2010,classic_scm,-0.00631541931486757
41,Oregon,2015,2010,ridge_ascm,-0.00639025890552651
41,Oregon,2015,2010,sdid,-0.0125558616163586
41,Oregon,2015,2010,gsynth_ife,-0.0375515936007708
41,Oregon,2015,2011,classic_scm,0.0118773824270346
41,Oregon,2015,2011,ridge_ascm,0.011761763242509
41,Oregon,2015,2011,sdid,0.015386282363453
41,Oregon,2015,2011,gsynth_ife,-0.0133851592971149
41,Oregon,2015,2012,classic_scm,0.0171739582788576
41,Oregon,2015,2012,ridge_ascm,0.0170654751529581
41,Oregon,2015,2012,sdid,0.00731833785926266
41,Oregon,2015,2012,gsynth_ife,-0.000547520294229627
53,Washington,2014,2006,classic_scm,-0.0461244019954769
53,Washington,2014,2006,ridge_ascm,-0.0461744292302665
53,Washington,2014,2006,sdid,-0.0430876406524151
53,Washington,2014,2006,gsynth_ife,-0.0817484035764115
53,Washington,2014,2007,classic_scm,-0.0416496892408622
53,Washington,2014,2007,ridge_ascm,-0.0401516805663817
53,Washington,2014,2007,sdid,-0.028799415112356
53,Washington,2014,2007,gsynth_ife,-0.0667796111038177
53,Washington,2014,2008,classic_scm,-0.0491835746541217
53,Washington,2014,2008,ridge_ascm,-0.0492010598954811
53,Washington,2014,2008,sdid,-0.0554420805520935
53,Washington,2014,2008,gsynth_ife,-0.0778320529809669
53,Washington,2014,2009,classic_scm,-0.0555330657341723
53,Washington,2014,2009,ridge_ascm,-0.0555582281671852
53,Washington,2014,2009,sdid,-0.0619087414668702
53,Washington,2014,2009,gsynth_ife,-0.0756477453418685
53,Washington,2014,2010,classic_scm,-0.0579754662114909
53,Washington,2014,2010,ridge_ascm,-0.0579911968912443
53,Washington,2014,2010,sdid,-0.0625439810551379
53,Washington,2014,2010,gsynth_ife,-0.0747168409430675
53,Washington,2014,2011,classic_scm,-0.0533741674061746
53,Washington,2014,2011,ridge_ascm,-0.0533156966056456
53,Washington,2014,2011,sdid,-0.036946743678119
53,Washington,2014,2011,gsynth_ife,-0.0574016510892292
