cohort,states,tau,se,cells,pct
2014,Colorado+Washington,0.00867449914569538,0.0217600036974894,12,0.00871223163798662
2015,Oregon,0.016854104123037,0.0297782622924359,5,0.0169969358411926
2018,California+Massachusetts,0.0479936342606723,0.0289066874814087,4,0.0491639765988261
,Aggregate,0.0181113832098199,0.0153361314733932,21,0.018276388966235
