fake_t0,estimator,att,se_boot,se_jack,se_boot_rerun,pct,t_boot,t_jack,reject_jack_5pct
2009,multisynth,-0.0115778627327628,0.0226097051897403,0.0149684400564485,0.0223341330657806,-0.0115110971958518,-0.512074909230419,-0.773484924888684,0
2007,multisynth,-0.0197791278280722,0.0254600137571382,0.0149337200247658,0.0254600137571382,-0.0195848041723312,-0.776870272606462,-1.32446087078577,0
