estimator,att,se,pct,t_stat
multisynth,-0.0115778627327628,0.0226097051897403,-0.0115110971958518,-0.512074909230419
sdid,-0.0137174759233522,0.0166234953434846,-0.013623820080173,-0.825186017736552
gsynth_ife,-0.0218212495700552,0.0188132378155441,-0.0215848884570269,-1.15988804181414
matrix_completion,-0.020522911648173,0.0112651504166855,-0.0203137500093038,-1.82180538111371
callaway_santanna,-0.00902033186624845,0.01215567593482,-0.00897977072270528,-0.742067484738519
twfe,-0.0204574589874248,0.013716815918698,-0.0202496248389848,-1.49141456068811
