estimator,mde_ri,mde_se,mde_ri_drinks,envelope
multisynth,-0.0642335766423358,,3.23940489862125,FALSE
sdid,-0.0475735294117647,-0.0466417910447761,2.39921132026144,FALSE
gsynth_ife,-0.0598181818181818,-0.067,3.01672927676768,FALSE
matrix_completion,-0.0642622950819672,-0.0590566037735849,3.24085321675774,FALSE
callaway_santanna,-0.0445454545454546,-0.0471153846153846,2.24650052525253,TRUE
