state,Estimate,Std.Error,ci_lo,ci_hi,pct
Average,0.0275659204188017,0.0419138934703777,-0.0545853107831386,0.109717151620742,0.0279493757271787
California,0.1041968143472,0.137725964241053,-0.165746075565264,0.374139704259664,0.109818861696859
Colorado,0.0107622598567542,0.0199473785288756,-0.0283346020598419,0.0498591217733503,0.0108203812942371
Massachusetts,0.0235177431623027,0.0408299282987489,-0.0565089163032452,0.103544402627851,0.0237964659723351
Oregon,0.0165486112857432,0.0581434219106682,-0.0974124956591664,0.130509718230653,0.0166862980129749
Washington,-0.0171958265579913,0.0677204516620154,-0.149927911815542,0.115536258699559,-0.0170488221592767
