estimator,att,se,ci_lo,ci_hi,p,r_or_lambda,nboots,pct
gsynth_ife,0.0179213802156284,0.0206942682308601,-0.0226386402032687,0.0584814006345255,0.386486347775116,1,500,0.0180829317827209
matrix_completion,0.00774657041772285,0.0201196712525816,-0.0316872606181229,0.0471804014535686,0.700219114558157,0.000171620488720321,500,0.0077766527224008
