draw,null_att
1,0.013160561236149
2,0.002756490510071
3,0.0119850292329826
4,0.000883248008041013
5,0.00662864377859146
6,-0.0202470412076149
7,0.0181009719318122
8,0.0192553856372662
9,-0.0181044849211646
10,0.0137868034789099
11,-0.0133784574044164
12,0.0258886739511384
13,-0.0314733509323944
14,-0.0308845937151157
15,-0.00965828934311624
16,0.0072471610424403
17,-0.00379130383912988
18,0.0151970583643906
19,0.00768232609273229
20,0.0237914497217844
21,0.0183732359105999
22,-0.00600170858945026
23,0.00771505253047256
24,-0.00572243273078919
25,0.00734915174638588
26,0.0174876983634827
27,-0.00926485853066804
28,0.00527694665963955
29,0.0178703232782874
30,-0.00178414983878673
31,0.00980679209484875
32,0.018711478961445
33,0.000973888292858287
34,-0.0347167890020265
35,0.00824815999505036
36,0.00766203410464169
37,0.00558884474133006
38,0.0134423380072088
39,0.0229985081481712
40,-0.00699447650287031
41,0.0440973936914746
42,0.00314402796220121
43,0.0216941264340667
44,-0.00801484078692039
45,0.0119290523396128
46,0.00671711914640053
47,0.0175592950760697
48,0.0227591334824916
49,-0.00760664173092942
50,-0.0187001315533386
51,0.0248182503347301
52,0.0530261993151904
53,0.0195944640022227
54,0.0249311456636306
55,-0.0222962447951806
56,-0.00283523716497968
57,0.00794709158946753
58,-0.00924053437298141
59,-0.0136225681644397
60,-0.030153441062359
61,0.00805450142476319
62,0.0310131113759559
63,0.00224360562174263
64,0.00889604919267593
65,-0.0207348591982783
66,-0.0165592937688606
67,-0.026996214616491
68,0.00724467545059715
69,-0.00726700963432193
70,0.014886396267955
71,-0.0270895775751664
72,-0.0255972225352669
73,-0.000435063285690018
74,-0.00351426779796489
75,-0.0191977246874651
76,0.00763036527252848
77,-0.0332117515623027
78,0.0177473667210558
79,-0.0176112109690261
80,0.0118251017870893
81,-0.0418895427650308
82,0.0192153270637111
83,0.0344330423807873
84,0.000816252259526246
85,0.0232010164716417
86,0.0248980163436823
87,0.0200567628184504
88,0.00387860264534793
89,0.0106376618028479
90,0.015445944425977
91,0.0078339362628929
92,0.00326347976214825
93,0.0153117897411333
94,0.0175529119422914
95,0.0292892752657162
96,-0.0477446012422339
97,-0.0343836329397392
98,0.0267308460235145
99,0.00683723857184828
100,0.00517906856499388
101,0.0123277692086835
102,0.0115314729667688
103,-0.0047663000471034
104,0.0322823849160325
105,-0.01857292208431
106,0.00610697261917103
107,0.00581012191208147
108,0.0126782096735663
109,0.0135446517081024
110,-0.0276842692095156
111,0.0563492646965027
112,-0.0189045470633272
113,0.0158728846206521
114,-0.0127005146014432
115,-0.00755603590396888
116,0.0042352124792279
117,-0.0128784313731022
118,0.0194245103528205
119,-0.00553919904596074
120,0.014932077666003
121,-0.0187083191693431
122,0.0151040887668989
123,-0.00799047578438138
124,-0.044418076217261
125,0.00639689489264464
126,0.00923438018354113
127,-0.00336629625296872
128,0.00211387296072965
129,-0.0418737031666333
130,-0.00383945165782983
131,0.0105725353127458
132,0.0102532241540051
133,-0.00716656537043018
134,0.00658152693196648
135,0.00728926174620025
136,0.0394309256446647
137,0.00488762565967085
138,-0.0208599810961565
139,0.0301649953698232
140,0.0242727048778876
141,-0.04319327209052
142,-0.0054524875498357
143,-0.0080545285233324
144,0.00241870961766977
145,-0.00493223371811865
146,-0.000614789290527495
147,-0.00933979099585135
148,-0.00903783922399821
149,0.00496477598076511
150,-0.00558744109194734
151,0.0326591743520007
152,0.00528405107167658
153,-0.000436075946824377
154,0.0288555742884203
155,0.00443033858573776
156,-0.0114267888034676
157,0.0212269779237267
158,0.00884146699438689
159,0.052696757151847
160,0.0133976478110406
161,0.00490510820425673
162,0.0145317246538439
163,0.0267766646579776
164,-0.00602310859530537
165,-0.012935025706699
166,0.00289387598814694
167,-0.00556387585843806
168,-0.013388437439902
169,0.0289701884538657
170,0.0128511667881597
171,0.00159434140489152
172,0.0204915187664644
173,-0.0454088852659589
174,0.0213320267941138
175,0.018224289191686
176,0.0259312477752456
177,0.0194038792326022
178,0.0349982439738973
179,0.00679330171145853
180,-0.00379543754657191
181,-0.000602480033175269
182,-0.0155209616841803
183,-0.018959557639251
184,0.0152424379874512
185,-0.00842051413128451
186,0.0284579889381555
187,0.00304044244386233
188,-0.0292996332551427
189,0.01772644803081
190,0.0124389205520797
191,0.00520639615397004
192,0.0281096694164526
193,-0.00586502777796832
194,-0.00424513978230176
195,-0.00756493282521173
196,0.0124357464237838
197,0.00260551537389395
198,0.00907894861144788
199,0.0231596293710847
200,0.0139239892000173
201,0.0191229079663218
202,-0.0161448489487822
203,0.00272358316886672
204,-0.00751272847017535
205,-0.011453419752636
206,0.00456790870485727
207,0.0174181522398045
208,0.00416520612859235
209,0.00954063151139727
210,-0.00556872110650198
211,0.0195074570994809
212,0.0136133409535848
213,0.00718675758579471
214,0.000963207644214119
215,-0.0331566677667218
216,-0.0218143477084234
217,-0.00395551623697176
218,-0.00772505847143687
219,-0.00757306851876363
220,-0.0214338840138513
221,0.0310415993355735
