estimator,att,se,biters,ci_lo,ci_hi,pct
callaway_santanna,0.0124231500223412,0.0121638991263197,999,-0.0114180922652454,0.0362643923099279,0.0125006378992822
twfe,0.00710240654553944,0.0229105556490662,,-0.0378022825266303,0.0520070956177091,0.00712768845359579
