estimator,delta,n_ok,reject_boot,reject_jack,reject_ri,mean_att,sd_att,mean_se_boot,mean_se_jack,ratio_boot,ratio_jack
multisynth,0,400,0,0.0175,0.05,0.00363515216189125,0.0196839372893428,0.0338019902326577,0.025084924225057,1.7172372445506,1.27438549799884
multisynth,-0.02,400,0,0.0775,0.105,-0.0165675551556282,0.0196839372893428,0.0370313533875976,0.025084924225057,1.88129807788236,1.27438549799884
multisynth,-0.05,400,0,0.5325,0.6375,-0.0476581422256593,0.0196839372893428,0.0573765097157684,0.025084924225057,2.91488988571575,1.27438549799884
multisynth,-0.08,400,0,0.8925,0.98,-0.0797464567771598,0.0196839372893428,0.0858788451346646,0.025084924225057,4.36288959227486,1.27438549799884
multisynth,-0.12,400,0,0.9825,1,-0.124198219347994,0.0196839372893428,0.128404115277171,0.025084924225057,6.52329426728519,1.27438549799884
multisynth_phased,-0.05,400,0,0.2325,0.2975,-0.0319281986134772,0.0196839372893428,0.0456959706048975,0.0255534061803703,2.32148527671027,1.29818571380053
