estimator,ri_thresh
multisynth,0.041092445552332
sdid,0.0331070719926851
gsynth_ife,0.041795913077331
matrix_completion,0.0423363561246832
callaway_santanna,0.0300669851735772
multisynth_phased,0.041092445552332
